OrderItem,Year_0,Year_1,Year_2,Year_3,Year_4,Year_5,Year_6,Year_7,Year_8,Year_9,Year_10,Year_11,Year_12,Year_13,Year_14,Year_15,Year_16,Year_17,Year_18,Year_19,Year_20,Year_21,Year_22,Year_23,Year_24,Year_25,Year_26,Year_27,Year_28,Year_29,Year_30,Year_31,Year_32,Year_33,Year_34,Year_35,Year_36,Year_37,Year_38,Year_39,Year_40,Year_41,Year_42,Year_43,Year_44,Year_45,Year_46,Year_47,Year_48,Year_49,Year_50,Year_51,Year_52,Year_53,Year_54,Year_55,Year_56,Year_57,Year_58,Year_59,Year_60,Year_61,Year_62,Year_63,Year_64,Year_65,Year_66,Year_67,Year_68,Year_69,Year_70,Year_71,Year_72,Year_73,Year_74,Year_75,Year_76,Year_77,Year_78,Year_79,Year_80,Year_81
Order_0001,96.18899097946067,103.30184955394766,104.46606530326574,105.58776377720474,106.39123621256245,107.13313007012695,107.83560014312584,108.44345132600192,109.00171217211727,109.46884829967885,109.85399605692301,109.1286521211303,108.46396420057332,107.8308747800902,107.21500375750196,106.42910900640848,105.67269845780567,104.93178032233641,104.19079791126404,103.88865876323214,102.64203091246372,102.08646707736393,100.93914403229437,100.16190391531548,99.2070581838061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Order_0002,0.0,98.54397428077829,104.71615350156162,105.8444098003185,106.65133129669807,107.39540785961233,108.09797390787054,108.70607287751827,109.26587913978646,109.73115133420367,110.1161716889159,109.38700664845734,108.72074512527448,108.08615690942639,107.46882785483791,106.68107255234018,105.92287125414089,105.18019904629051,104.43746241066894,104.13460796912558,102.88502881324271,102.32814971923311,101.17811046630025,100.39903028716412,99.4419240245033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Order_0003,0.0,0.0,100.15564193676266,106.37328409790038,107.26622600375401,108.09838349568341,108.89200918072397,109.59237161542558,110.247831062509,110.81220112305792,111.29462266410283,110.56914027782466,109.90571300118702,109.27587439109448,108.66286177615345,108.05543794482872,107.26292831209392,106.48264703973196,105.69843438503959,105.43632583501388,104.04915617474964,103.5258238909258,102.22366859781502,101.47075334304938,100.44204124285608,99.4419240245033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Order_0004,0.0,0.0,0.0,101.62270830915855,107.52295741659924,108.36097380895602,109.15802465364393,109.8604704688297,110.51591405737918,111.08042940664667,111.56421686131365,110.83404684431804,110.16801106946434,109.53457745695133,108.92011357709225,108.31125171190769,107.51686586749436,106.73473733325037,105.9486681094005,105.68593903553221,104.29548534715128,103.77091411038344,102.46567605478344,101.71097832528746,100.6798308204297,99.67734589381519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Order_0005,0.0,0.0,0.0,0.0,103.92021555619203,110.02750813434392,111.10722525740545,112.10230562006376,113.06092329915992,113.93557199960611,114.73719096689554,114.0325545007646,113.3898916515798,112.78172776791394,112.19079480283149,111.60632858755476,111.01289942912717,110.39284409429389,109.72650649206378,109.61002977073592,107.84474452970069,107.44752177866245,105.73210911965265,105.08556806709592,103.88227804522633,102.69284546217818,101.53073504679094,100.37759018998113,99.2070581838061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Order_0006,0.0,0.0,0.0,0.0,0.0,104.79303718513086,110.78585771724491,111.68796320933005,112.5468346390112,113.31694360033961,114.00892427378298,113.29073994938844,112.6356689655201,112.0118896743918,111.40741576209248,110.80863458343066,110.20344729539198,109.5722936702499,108.71461551514344,108.5444934441521,106.89385044540333,106.44818229633125,104.85797794837951,104.16831815702949,103.0122897682927,101.87450675005498,100.76876617817479,99.67734589381519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Order_0007,0.0,0.0,0.0,0.0,0.0,0.0,107.93720499637902,114.15669751506115,115.34601017293744,116.45582146994141,117.49640721071768,116.81396597316805,116.1969772590007,115.6135600112957,115.04649151510729,114.48673611912979,113.91858067384177,113.32483284274139,112.6830670837931,112.94242954970221,111.16793000836091,110.88125166197682,108.91594615558927,108.36770702983367,107.078163345804,105.79555655855238,104.53299976246103,103.27073123111062,101.98078564410558,100.63538202517653,99.2070581838061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Order_0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.4245962131716,115.62190582753155,116.73822580322735,117.78281514424236,117.09916891646228,116.47914401103192,115.8931524444904,115.32496701893493,114.7609177684015,114.19037892846465,113.593121537364,112.9498364424202,113.20981293100789,111.43111238487697,111.14375534735875,109.17379711627161,108.62426007234839,107.33166348294073,106.04602021293385,104.78047440105301,103.5152175363599,102.2222180924994,100.87362932366446,99.4419240245033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Order_0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.01268998266605,118.3323755735084,119.58685956438504,118.90863131781205,118.29310438801039,117.70918913668078,117.14264675809733,116.5805081985522,116.00717641052182,115.40709546723295,114.75747850384745,115.16356231147437,113.22090720216198,113.26467199925851,111.26166599687258,110.7771144238763,109.37770731765815,107.9778843615357,106.59032838671942,105.19410034509232,103.75996024015987,102.25897320499459,100.66267434622097,99.89460826671993,99.2070581838061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Order_0010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.6102103917689,119.87283983826447,119.19685876567542,118.58139844573182,117.99651656866192,117.4270586924664,116.86239575504833,116.28793022044101,115.68345804269882,115.03126279099375,115.43620407079209,113.48894986002679,113.53281826724997,111.52507028685075,111.03937157155795,109.63665146591724,108.23351452587634,106.84267360837045,105.44314009353602,104.00560476121161,102.50106424317583,100.9009862573891,100.13110183462929,99.4419240245033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
